Title,Abstract,Authors,documentType,pub_month,pub_year,pubtitle,subjectTerms,Database
Tailoring Client Communications,"You just completed an initial meeting with prospective clients, a couple in their early 60s who were referred to you by a long-time client. From a business perspective, they were an ideal fit for your firm's services. But you sensed some discord in the meeting. Communicating about personal financial matters should be fairly straightforward. Money is money: it's a quantifiable entity. Advisers and clients -- including partners in a couple -- often have different personalities, communications preferences, and learning preferences. Financial planners tend to classify people by their perceptions of their personality type: aggressive, submissive, intellectual, and so on. Recognizing a personality type or profile is useful, but the value of that information results from understanding how personality influences communications preferences. Gender-stereotyping is politically incorrect, but nonetheless, gender differences are a key factor to consider in assessing communications styles and learning preferences.","McCarthy, Ed, CFP", Feature,Dec,2010,Journal of Financial Planning," Financial planners , Communication , Preferences , Personality traits , Client relationships , Personality , United States--US",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Mark Zandi on the Economy and Its Prospects in the New Year(s) Ahead,"In an interview, Moody's Economy.com chief economist and co-founder Mark Zandi talked about where the economy is headed in the new year and how financial planners can stay on top of market changes while keeping clients informed along the way. Zandi thinks June 2009 is an appropriate point to mark the end of the Great Recession, which was 18 months long -- the longest recession in the post-World War II period. As long as you're not creating enough jobs to bring down unemployment in a substantive way, most Americans won't think that the recession has ended. If prices for an asset or asset class are rising strongly and have been rising consistently strongly for an extended period, that's certainly a necessary condition for some kind of a bubble and a future financial crisis. Good financial planning would say that you need to have a diversified asset base.","Nelson, Christina", Interview,Dec,2010,Journal of Financial Planning," Financial planning , Financial planners , Client relationships , Unemployment , Recessions , United States--US , Zandi, Mark",ProQuest One Academic
"The Wealthy Love Social Media, But Don't Have Time for It ...",,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Consumer Market Changes Under Way ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Credits,,Anonymous, Credits,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Bright Prospects Ahead for Advisory Firm Growth ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
CE Exam,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Would Someone Please Tell Me What My Policy Is Worth?,"In today's climate of tax uncertainty, it should come as no surprise to hear that the Treasury regulations governing the valuation of life insurance policies for gift tax purposes not only do no more than approximate the value of the gift, but they are based on the use of a factor that is generally impossible to calculate. When the IRS published Treas. Reg. §25.2512-6, there were only two types of insurance policies available for purchase: whole life and annual renewable term. Unfortunately, there is no guidance for gift tax purposes regarding which reserve is to be used when attempting to comply with the ITR requirement of Treas. Reg. §25.2512-6. Moreover, the life insurance industry is not in agreement about which reserve is to be used when attempting to comply with the Treasury regulations. Some insurance companies do not even bother with using the reserves for calculation purposes.","Gallo, Jon J, JD", Feature,Dec,2010,Journal of Financial Planning," Gift taxes , Insurance policies , Valuation , Life insurance , Tax regulations , Insurance industry , United States--US",ProQuest One Academic
PRACTICE TRENDS: Financial Planning Students Have Realistic Expectations,"As part of the 2010-2011 Financial Planning Salary Survey, students in financial planning programs were asked some questions regarding their nature career expectation. Overall, it appears as though those surveyed have a realistic set of expectations regarding future salary, benefits, and even career satisfaction. The largest number of students expect to hold a junior financial planner position upon graduation, a position which nearly 30% of firms said they employ. Another 13% expect a paraplanner position, 10% expect a retirement specialist position, and 10% expect to be the CEO/Owner/President. When it comes to the specific types of benefits offered, students are once again realistic in their expectations. Ninety-six percent of students anticipate that their insurance benefits would include healthcare; the same percentage of firms reported that they provide healthcare benefits to employees. Seventy percent of students felt that helping people would be their greatest driver of job satisfaction, and a similar number of financial planners agreed with them.","McClune, Sheila", Feature,Dec,2010,Journal of Financial Planning," Students , Expectations , Financial planners , Polls & surveys , Professions , Job satisfaction , Careers , Financial planning , United States--US",ProQuest One Academic
Financial Planning Association,"In October 2009 the Financial Planning Association (FPA) conducted an online survey via the Loyalty Research Center to gain a better understanding of its current members' and its potential members' specific needs and expectations. According to the survey, awareness of benefits along with member involvement have a statistically significant influence on the perceived value of FPA membership. The top three benefits cited as most essential to membership, according to the survey, were learning opportunities, local chapter affiliation, and publications/research. The survey revealed that business development opportunities were all important indicator of value, but survey respondents rated FPA low in this area. As a result FPA has made improvements to PlannerSearch, FPA's online consumer referral platform, as well as to the online Practice Management Center.",Anonymous, Commentary,Dec,2010,Journal of Financial Planning," Financial planners , Associations , Polls & surveys , Memberships , United States--US",ProQuest One Academic
APPLIED PLANNING: A Year in Planning: What Was 'All the Rage' in 2010?,"Year 2010 was an exhilarating if not confusing year for advisers trying to plan portfolios and strategies to get their clients closer to their long-term financial goals. The author said they asked members of the FPA Research Group earlier this year about their experiences in the turbulent economy of today, and in several publications have explored the evolution of planning trends since the initial market crash in 2008. This article seeks to look at 2010 as its own animal. Of the 368 advisers who took part in FPA's 2010 Trends in Investing survey earlier this year, 60% indicated that over the past three months they had re-evaluated the asset allocation strategy they typically recommend and implement. Planners used a variety of screens to help them select particular investments in 2010. The six most popular screens, used by more than two-thirds of advisers each, ran the gamut from expenses to quality to performance.","Nelson, Christina", Feature,Dec,2010,Journal of Financial Planning," Polls & surveys , Investment advisors , Asset allocation , Investment policy , Trends , Planning , United States--US",ProQuest One Academic
MARKETING TO CONSUMERS: Using Consumer Perceptions to Shape Marketing Messages,"While most individuals expect to leave behind at least a small inheritance and plan to retire and live at least to the age of 75, there are several fears that prey on their minds regarding future expenses and governmental changes. This article comes from research conducted from February 2008 to February 2009 and is the most recent Health and Retirement Study available. One of the biggest fears links to medical expenses. One in five individuals thinks that medical expenses will eat up all of their savings in the next five years. Eight in ten individuals think it's likely they will leave an inheritance worth $10,000 or more (including property and other valuables). Even within the context of the perceptions, only just over half of individuals expect to be working after the age of 62. Understanding consumer perceptions can help your messaging meet individuals where they are perceptually and speak to their concerns and hopes.","King, Rebecca", Feature,Dec,2010,Journal of Financial Planning," Inheritances , Polls & surveys , Financial planners , Retirement planning , United States--US",ProQuest One Academic
Using a Hierarchy of Funds to Reach Client Goals,"The financial planning and investment industries use a common mental map, a framework that serves to focus, simplify, and constrain thinking and recommendations. This framework, modern portfolio theory, is deeply embedded in the psyche of financial advisers and is applied to institutions as well as individuals, including individuals at or near retirement. Modern retirement theory (MRT) suggests that historical long-term averages may not apply in individual client scenarios and seeks to offer a sustainable benefit to individuals. It proposes a perspective on retirement planning that seeks to meet the individual client's retirement goals under any market condition or life event. The MRT standard is that individual retirement goals are absolute and therefore must result in a sustainable lifestyle throughout the retirement phase. To this end, MRT seeks to employ strategies that meet the client's stated objectives in any market climate, mitigate and transfer longevity risk and conditions within longevity risk, are tax efficient, and maximize assets by disbursing the client's retirement sheet assets into four broad categories.","Branning, Jason K, CFP;Grubbs, M Ray, PhD", Feature,Dec,2010,Journal of Financial Planning," Financial planners , Objectives , Risk management , Retirement planning , Portfolio management , United States--US",ProQuest One Academic
Life Planning Meets Retirement Planning,"In an interview, Roy Diliberto, former FPA president who currently serves as chairman and CEO of RTD Financial Advisors, talked about the life planning aspects of successful retirement planning. According to Diliberto, a lot of people retire from things as opposed to to things. And he thinks it's extremely important that you retire to something as opposed to from something. He said planners can't approach this as if this is the first time you're ever having a conversation with this person. Planners need to understand their values and what's most important to clients in their lives so they have a pretty good idea about what really matters to them. Most of our clients who retire spend more money the first few years they're retired, not less. An assumption is you're going to spend less money when you retire. That's ridiculous. Most of clients who retire spend more money the first few years they're retired, not less.","Schulaka, Carly", Interview,Dec,2010,Journal of Financial Planning," Financial planners , Client relationships , Chief executive officers , Retirement planning , United States--US , Diliberto, Roy",ProQuest One Academic
5 Social Security Strategies for Couples,"One of the bigger decisions advisers face in developing retirement income strategies for their clients is when the clients should begin collecting Social Security benefits. Identifying optimal Social Security strategies can help clients maintain their quality of life and may result in a significant increase in benefits collected over their lifetimes. The first step in Determining the needs should be to figure out how much income clients will need in retirement and where this money will come from. Social Security usually provides at least 20% of pre-retirement income. When your clients want to retire and whether they want to keep working for income in some capacity during retirement are, of course, key questions. Clients can certainly begin drawing their Social Security benefits at age 62, but there is no requirement to do so and the benefits of waiting can be significant: approximately an 8% annual increase in benefits in real terms for every year they delay taking benefits from ages 62 to 70.","Fahlund, Christine S, PhD, CFP", Feature,Dec,2010,Journal of Financial Planning," Couples , Guidelines , Financial planners , Social security , Retirement planning , Retirement income , United States--US",ProQuest One Academic
Planners Find Success with Retirement Income Strategies,"As America ages, clients are demanding mote retirement income planning products and services, and planners are stepping up to meet that demand. Whether a planners primary strategy for providing retirement income involves a systematic withdrawal, time-based segmentation, essential versus discretionary income, Social Security and pensions, or a combination of strategies, planners are generally successful at executing retirement income planning. The increase in retirement income planning may simply be attributed to the fact that each year more baby boomers are closer to retirement. However, it may also be thanks to a shift in attitude. In 2010, planners report that 60% of their clients in or near retirement have made no significant changes to their retirement plans; this is the same finding as the 2009 survey. Planners who most commonly use a structured systematic withdrawal program were asked to indicate what they usually recommend as a sustainable withdrawal amount.","Schulaka, Carly", Feature,Dec,2010,Journal of Financial Planning," Financial planners , Polls & surveys , Baby boomers , Retirement planning , Retirement income , Planning , United States--US",ProQuest One Academic
Many Unaware of Permanent Life Insurance Benefits ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Sandwich Generation Struggles Financially ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Nearly Half of Small-Business Owners May Never Retire ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Unsung Heroes,,, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
The True Costs of Long-Term Care ...,,Anonymous, General Information,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Table of contents,,Anonymous, Tbl Of Contents,Dec,2010,Journal of Financial Planning,,ProQuest One Academic
Credits,,Anonymous, Credits,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
More Parents Seeking Help with Saving for College ...,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
Consumers Advised to Defend Against Rogue Planners ...,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
Compliance Software: Who Benefits and How?,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
Consistent Asset Allocation,"Investors may have different levels of willingness and ability to adjust portfolio allocations. This paper outlines how to make sure investment horizons and opinions are consistently combined into an asset allocation using simple concepts from modem portfolio theory (MPT). The inputs into the asset allocation decision framework should be consistent with the clients willingness and ability to adjust his or her holdings. Another method of forecasting returns uses key historical economic and financial data to develop a small-scale macroeconomic model of future returns. In creating the framework for MPT, Markowitz did not suggest that returns are stable or independently and identically distributed across time. Rather, he acknowledged that the returns depend on the investment opportunities that are available at a point in time. Simply using MPT as a black-box, where you input historical averages, standard deviations, and correlations can give incoherent portfolios that are inconsistent with your outlook.","Jacobsen, Brian J, PhD, JD, CPA, CFP", Feature,Nov,2010,Journal of Financial Planning," Studies , Models , Investors , Forecasting , Asset allocation , Rates of return , United States--US",ProQuest One Academic
Gender Gap in Salaries Reversing Among the Young ...,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
Efficiently Monitor Client Cash Flow,"As another calendar year wanes, clients turn to financial planners for strategies to maximize opportunities related to the end of the year. Many of the year-end planning strategies prepared by financial planners are contingent on knowing a client's income, expenses, and cash flow for the period. It is also a time when planners review events over the past 12 months and assess a client's progress to an existing financial plan. Planners implement a variety of techniques to gather data related to a client's cash flow. The level of detail collected largely depends on the comprehensive nature of the planning provided for a client. To help simplify personal income and expense tracking for clients, planners often recommend clients use desktop personal finance software. Instead of asking clients to manually track transactions or consistently download and review them in personal finance software, planners are turning to one of the most efficient tools available to automate personal finance management.","Winterberg, Bill, CFP", Feature,Nov,2010,Journal of Financial Planning," Financial planners , Financial planning , Clients , Automation , Cash flow , United States--US",ProQuest One Academic
"Business Continuation Planning, Part 2","The second part of a two-part series dealing with planning for the continuation of a closely held business, commonly referred to as buy-sell planning is presented. This follow-on business continuation article presents two case studies as a way of identifying different situations and possible planning solutions. For purposes of space and greater clarity, business continuation planning for permanently disabled shareholders has been ignored. Sam and Pranab are co-owners of Engineering Consulting Associates. Twenty years ago they instituted a buy-sell agreement funded life insurance. JOC is a corporation. The four senior orthopedic surgeons are its shareholders. For some 10 years, life insurance issues have been a constant source of irritation among the doctors. The planning that justified purchasing life insurance policies to informally fund a deferred compensation plan 10 years ago was seriously flawed. Now each doctor can individually continue his or her policy or reinvest as he or she chooses without convincing the other three doctors.","Katt, Peter C, CFP, LIC", Feature,Nov,2010,Journal of Financial Planning," Buy sell agreements , Closely held corporations , Insurance policies , Life insurance , Stockholders , Retirement planning , Compensation plans , Business ownership , Planning , United States--US",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
"William Reichenstein on Retirement Investing, Withdrawals, and Tax Efficiency","In an interview, Bill Reichenstein, PhD, CFA, talked about retirement investing, withdrawals and tax efficiency. When he says retirement accounts, he's talking about the 401(k) and the Roth. With the taxable account, the government is taxing the returns each year. So, you're only going to get some of the returns because the government is going to take some of the returns, and the Roth, of course, is growing tax-exempt. So, you get all the returns. You can make that portfolio last a few years longer by tax efficiently withdrawing the funds. Two key concepts again, the taxable accounts are taxed the most heavily and the retirement accounts taxed more favorably. The optimal assets to hold in the taxable account are assets on which you're going to allow the capital gains to grow unrealized and unharvested for long, long periods, ideally, until retirement. If he wants a 50% stock allocation, he has got to hold tax efficient stock funds in a taxable account.","Buttell, Amy E", Interview,Nov,2010,Journal of Financial Planning," Financial planners , Withdrawals , Roth 401k plans , Tax returns , Taxable income , Retirement planning , United States--US , Reichenstein, Bill",ProQuest One Academic
Passing the Torch,"When the right people come together, they can ignite change. Forty-one years ago this December, 13 of the right people came together in Chicago to ignite a lasting change that became today's financial planning profession. They laid the groundwork for an institution that was to become the College for Financial Planning, a credential that would evolve into the CFA certification, and a membership organization that would become the International Association for Financial Planners -- a predecessor of FPA. The man who chaired the 1969 meeting, Lewis G. Kearns, died recently at age 96 at a facility near his home in Bradenton, FL. Kearns was instrumental in establishing the College for Financial Planning and served as chairman of its first board of regents from 1969 to 1971.",, Editorial,Nov,2010,Journal of Financial Planning," Financial planning , Financial planners , Certification , Changes , Deaths , United States--US , Kearns, Lewis G",ProQuest One Academic
'Not to Be' Is No Longer an Option,"In a twist on the famous phrase ""To be, or not to be"" from Hamlet's soliloquy in Act III, Scene l of Will Shakespeare's play, the SEC has taken a major step that was over 10 years in the making. The SEC has adopted a new ""2B"" and the effect on the development of financial planning as a profession is profound. As a result of the SEC's action, the public now has a significant tool in FORM ADV, PART 2B that provides important disclosures about the person providing advice, not just the firm they represent. As financial planners progressed in their work, some of the government regulators in their group became aware that the SEC was working on changes to FORM ADV, Part U. CFP Boards rules clearly stated that providing FORM ADV, PART II satisfied the disclosure requirements for certificants. CFP Boards rules now make sense and the public interest is well-served.","Adkins, Rick, CFP, ChFC, CLU", Feature,Nov,2010,Journal of Financial Planning," Financial planners , Financial planning , Regulatory agencies , Regulatory reform , Disclosure , United States--US",ProQuest One Academic
The Effect of Emergencies on Retirement Savings and Withdrawals,"This paper explicitly considers the risk that large extra withdrawals may be required for emergencies. These very large extra expenses might not even be on the radar screen at the beginning of retirement. The uncertainty about emergencies in this paper is integrated with the uncertainty about investment returns. This paper shows that after allowing for a reasonable risk for emergencies that only close to 3% can be withdrawn initially to provide the same sustainability as a 4% withdrawal. Significantly more savings are required to sustain a given standard of living. This paper explicitly considers the risk that large extra withdrawals may be required The sustainability of investment withdrawals depends on uncertainty about the returns to be earned on the investment and the expenses to be covered by the withdrawals. The effect of uncertainty about the returns has been extensively studied in various papers, but little attention has been paid to uncertainty about the expenses to be covered.","Pye, Gordon B, PhD", Feature,Nov,2010,Journal of Financial Planning," Studies , Emergencies , Uncertainty , Retirement planning , Rates of return , Risk assessment , United States--US",ProQuest One Academic
Are Cash Holdings in Equity Mutual Funds Predictive?,"Periodically, the financial media will report on the percentage of assets in equity mutual fund assets that are invested in cash. There are at least a couple of reasons why cash levels might be useful for assessing future market returns. These are: 1. dry powder hypothesis, 2. contrarian investor view and 3. the evidence. Over the years, many variables have been considered to have some predictive power for the market. The authors added a few of these variables (S&amp;P 500 dividend yield, 90-day Treasury bill yield, whether the Fed was in a tightening or loosening mode) to the default and term premium variables as well as the mutual fund cash variable and analyzed the results over the same 10 years. They used quarterly data instead of monthly data to try to better capture the leads and lags associated with the data.","Riepe, Mark W, CFA;Suarez, David", Feature,Nov,2010,Journal of Financial Planning," Variables , Cash , Securities markets , Equity funds , Rates of return , United States--US",ProQuest One Academic
Changing Strategies for Philanthropic Giving: Implications for Financial Planners,"The objective of this article is to explore some new thinking so that financial planners can assist both the philanthropy of high-networth individuals and the nonprofits who seek to increase revenues. This article discusses the cause and nature of change in the meaning of philanthropy among those who provide resources to social problem solving, and presents a series of implications for financial planners both as private advisers and as members of nonprofit leadership teams. To all of the complexity of today's financial and regulatory scene, financial planners and advisers must add the growing complexity of philanthropy and philanthropic innovation. Few people revel in the prospect of added complexity to their work or their lives. Unfortunately, as the lawyers are fond of saying, the facts are recalcitrant. Innovation and complexity is a growing characteristic of philanthropy, and it will become a growing characteristic of the work of financial advisers.","Raymond, Susan, PhD", Feature,Nov,2010,Journal of Financial Planning," Financial planners , Charities , Philanthropy , Innovations , Studies , Investment advisors , Investment policy , United States--US",ProQuest One Academic
Table of contents,,Anonymous, Tbl Of Contents,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
CE Exam,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
"Tax Planning for Uncertain Times: Opportunities, Flexibility, and the Long View","With Congress struggling to come to grips with the politically thorny expiration of the so-called ""Bush tax cuts,"" practitioners are grappling with both short-term and longer-term tax planning opportunities for their clients. At the same time, planners are also encouraging clients to weigh important non-tax variables when plotting out wealth-building strategies. Whatever the outcome of the immediate ideological battle in Washington over federal marginal income tax rates and brackets, in 2013, higher income earners will face a pair of tax hikes that were enacted as part of the Patient Protection and Affordable Care Act of 2010 that may shape tax planning strategies for some clients. Another important tax planning consideration is the consensus opinion that preferential tax treatment for long-term capital gains will remain embedded in the Internal Revenue Code, even if the maximum rate rises significantly above today's 15% ceiling. Other tax-planning opportunities may be open to executives through maximizing certain employee benefits.","Stolz, Richard F", Cover Story,Nov,2010,Journal of Financial Planning," Financial planners , Tax rates , Roth 401k plans , Tax planning , Investment policy , Tax cuts , Patient Protection & Affordable Care Act 2010-US , Tax increases , United States--US",ProQuest One Academic
Online @ Journal of FINANCIAL PLANNING®,,Anonymous, General Information,Nov,2010,Journal of Financial Planning,,ProQuest One Academic
Life Transitions and Generational Timelines,"To focus on trends in financial planning, closely examine the confluence of demographics and economics. How you think about financial planning, how you frame your goals and objectives as an adviser, the tools that you embrace, and the conversations that you have with a client also are colored by generational timelines. While most of the practicing financial planning pioneers from the 1970s are Traditionalists, the bulk of today's experienced practitioners are boomers. The oldest boomers are approaching retirement, yet many do not have a succession plan. The Millennial Generation, also known as Generation Y, GenNext, the Google Generation, the Echo Boom, or even the Tech Generation, is the fastest-growing segment of workers today. This is the generation graduating from the universities teaching financial planning. For those planners who make it real, who communicate effectively with empathy across generations, the future is bright.","Walker, Lewis J, CFP, CRC", Feature,Oct,2010,Journal of Financial Planning," Trends , Demographics , Financial planners , Millennials , Economics , Generations , Financial planning , United States--US",ProQuest One Academic
The Bonding Continuum in Financial Planner-Client Relationships,"All planner-client relationships reflect degrees of bonding and are potentially enduring and endearing. However, only a small subset achieves that status. Based on a survey of financial planners, only 13% meet the dual criteria of an especially strong bonding relationship: planners selected by a client to be contacted in cases of an emergency and planners selected to be the sole or co-executor of a client's will. This paper discusses implications of ties that bind, highlighting the risks and rewards of bonding relationships along the bonding continuum. Compared to weak bonders, strong bonders are more likely to have mediated conflicts or been involved in an intervention to get a client into therapy or drug treatment among other behaviors that create special ethical issues for bonders. Strong bonders are more likely to agree that coaching helps them do a better job as a financial planner and that coaching has improved the communication between clients and their family members.","Dubofsky, David, PhD, CFA;Sussman, Lyle, PhD", Feature,Oct,2010,Journal of Financial Planning," Financial planners , Ethics , Correlation analysis , Studies , Client relationships , United States--US",ProQuest One Academic
Weighing the Risks: Are Exchange-Traded Notes Right for Your Clients?,"This paper introduces readers to the exchange-traded note (ETN) structure. It provides a discussion of the differences between the ETN and exchange-traded fund (ETF) structures. The authors examine ETN credit risk in light of their underlying structure. They show that credit risk is a declining function of redemption frequency and that credit risk is a declining component of the total risk when redemption opportunities increase. If credit risk can be accurately estimated, investors can mitigate credit risk by purchasing ETNs with frequent redemption opportunities. However, given the bankruptcy of Lehman Brothers and the demise of the Opta ETNs, investors should remain cautious, but realistic, when evaluating the credit risk of ETN issuers. ETNs offer a tax-preferred way to provide clients exposure to unique trading strategies, as long as the financial planner follows the guidelines, which involve ETNs with frequent redemption opportunities when issued by highly rated investment firms.","Smith, Jeffrey, PhD;Small, Kenneth, CFA, CFP", Feature,Oct,2010,Journal of Financial Planning," Financial planning , Investment policy , Exchange traded funds , Credit risk , United States--US",ProQuest One Academic
Helping Grandparents Model Good Money Behaviors,"The 2006 Ameriprise Financial study, ""A New Retirement Mindscape, identified what it called ""a startling new retirement planning need."" When it comes to making money decisions, children tend to be impulsive. In fact, it should be no surprise to all who are parents and grandparents that when it comes to making most decisions, younger children are naturally impulsive. Children simply aren't born with the capacity for self- observation and the ability to control their impulses and make decisions based on weighing alternatives. Thinking in terms of alternatives is called reflective thinking. Learning how to reflect before making decisions is an important life skill, and one that is the hallmark of people who make good choices in everything from careers to relationships and from purchases to investments. As a financial adviser, you have the opportunity to help your clients become money mentors and not money monsters.","Gallo, Eileen, PhD", Feature,Oct,2010,Journal of Financial Planning," Financial planning , Decision making , Alternatives , United States--US",ProQuest One Academic
Cost a Good Predictor of Mutual Fund Performance ...,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
"Game-Changing Technologies: Be Anywhere, Know Everything","According to a late 2009 study done by Geeknet, consumers of all stripes are embracing their inner geek as never before -- 66% of those regularly online admit they have ""geek tendencies."" For many consumers today, doing things with gusto means not only using every tech tool available to scratch an itch or indulge a passion, it means letting the world know about it -- and assuming that important people are paying attention. And therein lies a lesson for financial planners. In the old days, ""money in motion"" was gleaned by planners combing newspapers looking for those with a big job change or other major event. Now, more than even the executive announcement or the company sale, prospects and current clients are tweeting, updating their status, joining online groups, and starting discussions on social media platforms. Flipboard is just one example of a new tablet application that could radically change how planners monitor their prospects' and clients' social media posts.","Lee, Shelley A", Cover Story,Oct,2010,Journal of Financial Planning," Financial planners , Technological change , Social networks , United States--US",ProQuest One Academic
Women Say Wealth Managers Need to Improve ...,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
Credits,,Anonymous, Credits,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
Table of contents,,Anonymous, Tbl Of Contents,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
What Are You Doing Online? ...,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
Are Your Client Files Clean?,"Professional advisers have no friends when it comes to lawsuits. They can be sued by a client for alleged malpractice, by their peers or their professional association for an ethical violation, by the Internal Revenue Service investigating a client or for the adviser's questionable tax advice, or by the SEC for securities violations. Many advisers believe their client files, notes, e-mails, and conversations are confidential and do not have to be turned over if the government or all opposing attorney subpoenas them, similar to the privilege that exists between a doctor and patient or attorney and client. Although financial advisers under the CFP Board Code of Ethics are required to keep client records confidential, financial advisers, even if they are not the target of the proceeding, must testify and/or produce records in response to subpoenas. Recent cases against accountants indicate that the traditional protections afforded professional documents are eroding. Financial advisers need to be cognizant of this trend and act cautiously.","Gardner, Randy, JD, CPA, CFP;Welch, Julie, CPA, CFP;Daff, Leslie, JD", Feature,Oct,2010,Journal of Financial Planning," Financial planners , Litigation , Confidentiality , Subpoenas , United States--US",ProQuest One Academic
Spotting the Trends,,, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
CE Exam,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
"Empowering, Educating, and Engaging Women Clients","Today's women are making great strides among the ranks of professionals. Studies consistently highlight a gap between men and women in terms of their needs and involvement in the management of their personal finances and investment assets. Many financial advisers do not fully appreciate the differences between the financial styles of women and men, and fail to address women's needs or play to their strengths. Women have the capacity to effectively plan and manage their finances, but many lack the knowledge, skills, and experience to make decisions about their money and resources. They would like to find advisers who will educate and empower them, but too many distrust the financial services sector. As a profession, financial planners can build trust with a female clientele by a thoughtful and comprehensive review of all aspects of their practice, including their planning process, their subject matter expertise, and their relationship management. In their relationship management, planners should consider the collaborative and community-oriented style in which women traditionally learn.","Blayney, Eleanor, CFP", Feature,Oct,2010,Journal of Financial Planning," Women , Financial planning , Decision making , Financial literacy , Empowerment , United States--US",ProQuest One Academic
Your Voice,,Anonymous, Letter,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
STAT BANK,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
Can You Buy Happiness? ...,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
Equities Still Number One Among the Wealthy ...,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
"10 Questions: Ed Slott on Roth IRAs, Automatic IRAs, and Retirement Planning","In an interview, Ed Slott, founder, Ed Slott &amp; Co LLC, talked about Roth IRAs, automatic IRAs, and retirement planning. If you really know your stuff, you can make sure your clients end up with more money than they ever had and more of it tax-free. You really have to look through a client's balance sheet and see what kinds of money they have. Basically all clients have four kinds of money: cash, capital gain property, tax-deferred 401(k)s and IRAs, and then the tax-free category, like Roth IRAs and life insurance. The goal, really, is to get the first three categories into the last one, to start moving everything to tax-free territory. There are actual taxes that could affect people's investments. Advisers should be looking at that. If you really consider yourself a financial planner, part of planning is helping people keep what you've helped them earn.","Buttell, Amy E", Interview,Oct,2010,Journal of Financial Planning," Financial planners , Roth IRAs , Retirement planning , United States--US , Slott, Ed",ProQuest One Academic
"Back to School: Past, Present, and Future","By the end of 2008, financial planners whose clients had agreed to implement mid-course corrections in their withdrawal amounts would have been asked to take a small reduction in their pre-tax distributions, and the resulting withdrawal rate for 2009 would have been in line with policy-based safe withdrawal rate levels given an undervalued market environment. For retirees also receiving Social Security and/or pension income, this most likely generated an overall decrease in their after-tax income of less than 5%. Looking back, people can now say that clients ""unlucky"" enough to have retired in 2000 but who were fortunate to have advisers who implemented such distribution, rebalancing, and replenishment policies likely found themselves in pretty solid financial shape, all things considered, entering their second decade of retirement. For starters, take rebalancing. Much that is valuable has already been analyzed and written, yet all the studies the author knows have sought to determine the optimal rebalancing method based on the desire to maximize the same measure: a portfolio's expected rate of return or future value.","Guyton, Jonathan, CFP", Feature,Oct,2010,Journal of Financial Planning," Financial planners , Retirement , Withdrawals , Rates of return , United States--US",ProQuest One Academic
Necessity or Luxury?,,Anonymous, General Information,Oct,2010,Journal of Financial Planning,,ProQuest One Academic
